core_0_pkg core_0_ram core_6_pkg core_6_ram nvd_0 nvd_1
17.555817 1.100067 31.128326 1.104004 16.929000 16.543000
17.486677 1.106528 30.330171 1.098227 16.832000 16.447000
17.460449 1.102264 28.877045 1.097107 16.934000 16.352000
17.457502 1.102271 28.916159 1.096076 16.929000 16.543000
17.462777 1.095723 28.903245 1.088002 16.837000 16.638000
17.534698 1.097931 28.841187 1.098938 16.929000 16.638000
17.560608 1.106628 28.943298 1.099243 17.025000 16.549000
17.620629 1.106853 28.950485 1.096355 17.030000 16.447000
17.549953 1.106687 28.903324 1.096433 16.929000 16.549000
17.253383 1.100187 28.948795 1.093717 16.934000 16.638000
17.560735 1.104464 28.940701 1.099490 16.929000 16.644000
17.635573 1.102454 28.861623 1.092292 17.025000 16.638000
17.539795 1.106842 28.922363 1.093933 16.934000 16.452000
17.597738 1.104488 28.936286 1.099117 17.029000 16.447000
17.512756 1.104187 28.882568 1.090179 17.025000 16.543000
17.747251 1.102518 28.935307 1.100076 17.025000 16.638000
17.489644 1.095668 28.928243 1.096248 16.929000 16.543000
17.534206 1.102445 28.944675 1.081968 16.929000 16.638000
17.577432 1.104680 28.862664 1.090153 16.934000 16.542000
17.606527 1.106716 28.942633 1.098964 16.929000 16.638000
17.540494 1.104719 28.939343 1.094862 17.121000 16.638000
17.377389 1.102360 28.851159 1.091588 16.929000 16.547000
17.514060 1.107021 28.915168 1.092372 16.934000 16.543000
17.340960 1.102349 28.903116 1.094995 17.029000 16.549000
17.540009 1.111298 28.867981 1.096100 17.025000 16.644000
17.440438 1.111546 28.957544 1.098973 16.929000 16.543000
17.286125 1.100002 28.977515 1.098293 17.025000 16.638000
17.267800 1.102452 28.951684 1.101201 16.929000 16.547000
17.535126 1.095428 28.894745 1.091522 17.121000 16.452000
21.461739 1.072435 22.364982 1.085009 49.114000 16.634000
24.114623 1.041834 19.264195 1.103847 49.878000 16.443000
24.777824 1.041988 19.259628 1.101619 50.055000 16.539000
28.369071 1.024616 19.229503 1.105214 50.055000 16.539000
19.624045 1.072310 23.535415 1.068343 48.920000 16.539000
22.320488 1.065014 20.098138 1.090284 60.192000 16.539000
24.088185 1.074226 18.832899 1.103003 65.828000 16.539000
22.106480 1.055435 20.539105 1.087782 119.660000 16.528000
24.135087 1.054216 18.837515 1.107809 127.348000 16.337000
23.070896 1.069113 19.213911 1.099628 137.689000 16.524000
24.035875 1.041727 18.880129 1.105941 130.052000 16.525000
23.231861 1.072884 19.157960 1.099188 142.998000 16.529000
27.143380 1.039093 18.894302 1.100439 131.292000 16.620000
26.797283 1.073622 19.161663 1.103681 143.159000 16.620000
23.750184 1.045234 18.838081 1.109079 132.055000 16.620000
23.783261 1.080641 19.126064 1.108654 142.332000 16.524000
24.296903 1.046983 18.885034 1.106771 132.723000 16.620000
23.988054 1.079211 19.026996 1.112900 142.491000 16.620000
24.226610 1.042706 19.007526 1.098740 132.984000 16.620000
24.100613 1.078451 18.920352 1.106494 142.045000 16.716000
