core-0-pkg core-0-ram core-6-pkg core-6-ram nvd-0 nvd-1
27.795105 1.098907 19.213501 1.113800 16.929000 16.539000
28.018951 1.098602 19.222565 1.111359 16.929000 16.634000
27.719960 1.098790 19.517229 1.107152 16.929000 16.539000
27.758917 1.101072 19.579734 1.104856 16.929000 16.634000
28.231515 1.080837 23.818447 1.086482 38.112000 46.954000
28.721466 1.020264 26.342377 1.024323 49.818000 49.421000
28.222736 1.019859 29.200053 1.016410 49.818000 48.084000
26.806589 1.027016 29.136607 1.031166 49.832000 48.084000
19.712654 1.056190 29.324420 1.016211 49.068000 48.467000
25.367186 1.046082 25.375151 1.049745 48.876000 48.754000
27.985931 1.067596 26.140167 1.065552 69.720000 115.598000
25.150085 1.000000 30.329712 1.039673 130.092000 129.878000
28.076907 1.043177 30.520783 1.058589 123.513000 127.178000
26.261114 1.056121 29.609219 1.061217 128.696000 134.637000
27.861665 1.043523 28.840275 1.055151 128.939000 132.504000
26.742339 1.045823 24.249444 1.073405 135.648000 143.866000
27.645776 1.026485 24.187368 1.049836 131.571000 134.181000
27.424893 1.057271 27.964041 1.075916 139.740000 142.534000
26.742587 1.024083 24.623890 1.052436 132.810000 137.582000
27.942525 1.064427 28.648796 1.071324 145.541000 150.114000
26.111612 1.022581 28.118993 1.045774 136.688000 141.837000
27.944890 1.068828 28.942855 1.073772 142.943000 148.498000
26.135747 1.021141 28.601029 1.039665 134.406000 140.412000
27.987991 1.065283 28.939505 1.066443 139.327000 145.356000
26.243294 1.029382 24.941164 1.053184 135.930000 140.246000
27.960107 1.061816 27.230164 1.069018 135.158000 139.837000
26.029433 1.035207 25.412557 1.052754 137.547000 141.199000
27.888748 1.043646 26.990396 1.068274 132.526000 136.847000
26.387010 1.033901 25.747211 1.062130 138.785000 144.434000
27.991740 1.051705 26.578277 1.060952 127.702000 131.746000
26.054775 1.038934 25.981625 1.062585 139.452000 145.575000
28.040284 1.051831 25.893408 1.055036 119.728000 125.274000
26.184875 1.040360 26.326688 1.062790 139.547000 144.529000
27.997610 1.044115 25.668013 1.054521 106.749000 106.996000
26.132072 1.057208 26.648484 1.060443 138.695000 143.391000
28.080908 1.028239 25.330087 1.047923 105.822000 108.710000
26.125040 1.064039 27.107232 1.073469 130.856000 135.750000
27.982376 1.042878 24.862623 1.055787 122.464000 127.369000
26.384043 1.050168 27.658691 1.071316 132.093000 135.902000
27.706508 1.038976 24.541911 1.057958 130.748000 132.849000
26.756250 1.057346 28.114741 1.068758 141.071000 144.436000
27.485683 1.022708 24.186490 1.048375 131.000000 135.335000
27.653034 1.063138 28.194018 1.076199 143.096000 143.743000
27.546679 1.023627 28.110742 1.044106 132.758000 137.394000
27.969523 1.060464 28.943408 1.068490 146.056000 150.844000
26.174883 1.021846 28.319558 1.048549 137.803000 142.027000
27.937047 1.064250 28.888747 1.068370 143.827000 148.211000
26.267978 1.028861 28.755385 1.048759 137.046000 139.652000
27.949295 1.064765 28.947867 1.070777 139.736000 144.407000
26.226069 1.026331 24.903018 1.054559 136.595000 140.508000
27.975128 1.059614 27.093038 1.070478 135.996000 138.507000
26.176374 1.036519 25.411550 1.057240 138.214000 143.008000
27.921783 1.047773 26.768296 1.059858 134.092000 135.110000
26.175092 1.031728 25.693347 1.049550 141.643000 144.434000
28.001785 1.047003 26.289586 1.063178 127.321000 128.987000
26.231798 1.035335 26.109850 1.059505 142.401000 145.835000
28.035106 1.052224 26.026636 1.057534 119.156000 117.777000
26.029433 1.040944 26.663704 1.068532 137.742000 142.628000
27.954925 1.040814 25.738834 1.055616 106.464000 107.758000
26.080580 1.053792 26.816779 1.068013 138.028000 143.391000
28.111577 1.037809 25.148784 1.056059 107.131000 106.522000
26.102936 1.060211 27.201355 1.068939 128.572000 134.733000
28.011155 1.047700 24.788799 1.058076 128.080000 129.748000
26.504462 1.048642 27.788662 1.074032 134.248000 137.088000
27.741025 1.041112 24.509165 1.052587 130.714000 134.765000
26.940644 1.058738 28.399918 1.070822 142.785000 147.675000
28.004020 1.024797 24.197151 1.048481 133.519000 135.362000
27.829773 1.067530 28.511665 1.069055 142.185000 147.897000
27.599138 1.022437 27.865322 1.049934 135.641000 138.630000
27.945206 1.062262 28.940329 1.072089 146.624000 151.129000
26.913581 1.031858 28.084142 1.046873 140.729000 144.217000
27.900110 1.062088 28.948586 1.065628 143.200000 146.691000
26.411505 1.030371 24.540980 1.053046 139.804000 142.720000
27.873383 1.065643 27.274200 1.074463 90.732000 91.938000
27.886286 1.079317 28.895627 1.083681 93.880000 93.844000
27.904602 1.085999 28.893036 1.085022 90.622000 91.748000
27.901850 1.085787 28.861050 1.081301 92.450000 92.820000
27.870564 1.083653 28.893029 1.083165 91.195000 92.130000
27.882970 1.085722 28.900974 1.085508 90.447000 91.651000
27.891266 1.083588 28.834229 1.080902 92.912000 92.035000
27.832672 1.072815 28.894928 1.076752 90.733000 92.319000
27.905853 1.083466 28.906158 1.083069 93.484000 91.748000
27.860870 1.077148 28.907715 1.078735 91.863000 91.676000
27.867889 1.079163 28.844147 1.079071 95.216000 92.129000
27.963740 1.073219 28.919560 1.076789 141.771000 146.661000
26.248535 1.033447 29.408813 1.052063 134.560000 138.316000
28.003723 1.063093 28.928020 1.067121 144.590000 147.926000
26.165519 1.027392 26.936231 1.049945 135.357000 140.628000
27.989441 1.056989 24.526936 1.071668 142.915000 147.546000
26.294232 1.036306 24.474182 1.053456 136.690000 139.202000
27.914031 1.052869 24.524769 1.074598 139.901000 142.600000
