core_0_pkg core_0_ram core_6_pkg core_6_ram nvd_0 nvd_1
27.237758 1.107993 25.193524 1.108359 16.727000 16.437000
23.976563 1.103851 25.114075 1.107422 16.631000 16.437000
23.946677 1.103095 25.883609 1.097999 16.727000 16.437000
23.907693 1.102105 27.331318 1.104669 16.727000 16.433000
23.925450 1.109379 27.385791 1.102208 16.822000 16.529000
24.429657 1.104442 27.392883 1.107006 16.822000 16.337000
28.157842 1.107023 27.334906 1.104582 16.727000 16.528000
28.182434 1.107941 27.411743 1.103668 16.822000 16.528000
27.094845 1.100150 27.396692 1.098014 16.822000 16.624000
23.593661 1.097569 27.348742 1.104588 16.822000 16.624000
28.099463 1.093852 27.320311 1.106395 16.726000 16.529000
28.212991 1.104732 27.319166 1.104549 16.818000 16.624000
27.885620 1.109406 27.376678 1.104584 16.822000 16.529000
28.250021 1.104008 27.361499 1.104313 16.727000 16.528000
27.908722 1.096924 27.299683 1.107361 16.822000 16.529000
27.710860 1.096991 27.360180 1.103858 16.822000 16.720000
27.939586 1.095973 27.374768 1.108577 16.726000 16.528000
28.143646 1.091492 27.327545 1.100555 16.822000 16.529000
28.152623 1.106718 27.377966 1.104215 16.822000 16.529000
27.705982 1.099675 27.370288 1.103947 16.822000 16.433000
27.864491 1.102574 27.354541 1.100712 16.822000 16.433000
28.216771 1.102689 27.401801 1.109251 16.727000 16.433000
27.981349 1.104891 27.370935 1.104922 16.627000 16.529000
27.706116 1.099731 27.421448 1.104675 16.727000 16.529000
27.973963 1.104983 27.412042 1.109133 16.822000 16.528000
27.790527 1.100250 27.408356 1.109192 16.727000 16.433000
28.411552 1.095982 27.034349 1.101536 16.822000 16.433000
20.705649 1.099033 26.790691 1.102177 16.631000 16.437000
17.180569 1.100388 27.847771 1.099320 16.631000 16.533000
17.624072 1.111583 27.907121 1.105815 16.727000 16.341000
17.612420 1.109445 27.904630 1.102213 16.726000 16.437000
17.200183 1.100392 27.843943 1.102284 16.727000 16.437000
17.221135 1.106801 25.766699 1.100606 16.727000 16.341000
21.451161 1.096974 25.822181 1.094899 16.822000 16.533000
25.138464 1.028210 22.832780 1.065349 49.419000 48.750000
24.459040 1.017330 25.142377 1.050686 49.419000 48.845000
28.273473 1.010818 28.915187 1.052962 48.462000 48.081000
24.843082 1.006830 29.115823 1.040369 48.858000 47.317000
21.345575 1.051773 30.243862 1.045059 48.667000 47.891000
25.831280 1.042237 30.214621 1.059236 133.167000 88.539000
28.038787 1.051257 29.724283 1.063281 61.621000 50.548000
22.748985 0.979352 26.203463 1.058083 139.955000 142.722000
25.909648 1.045874 25.420969 1.067115 127.098000 130.092000
25.552479 1.043355 24.377198 1.059743 141.736000 143.046000
24.159429 1.048741 25.426524 1.058873 118.325000 119.736000
23.976196 1.039445 24.198727 1.061661 139.452000 142.342000
24.092243 1.049577 25.395365 1.053148 103.420000 106.216000
23.262096 1.057301 24.437073 1.068105 137.259000 142.723000
24.008096 1.033059 25.391866 1.052682 103.683000 104.332000
23.329888 1.055678 24.424078 1.070051 131.080000 134.548000
24.550812 1.037859 25.438609 1.051959 123.933000 127.999000
26.785854 1.042453 24.549742 1.074983 130.821000 135.236000
24.201068 1.042787 25.223681 1.057406 128.663000 133.178000
27.299643 1.059168 24.944330 1.078423 139.519000 145.862000
26.932932 1.025070 24.836738 1.049516 131.010000 134.891000
27.999836 1.064010 25.374616 1.083815 139.835000 145.005000
23.623562 1.029944 24.473232 1.049415 135.102000 137.746000
