75.44%,77.56%,78.67%,67.00%,45.22%,34.78%
76.22%,78.00%,78.67%,68.44%,55.22%,32.89%
76.56%,78.33%,78.11%,68.22%,50.44%,38.22%
76.00%,78.33%,78.11%,60.67%,50.67%,42.33%
75.00%,77.78%,78.67%,70.44%,53.22%,40.56%
76.00%,78.11%,78.56%,66.89%,53.56%,41.00%
75.44%,78.67%,78.67%,67.44%,59.33%,37.11%
76.11%,77.56%,78.78%,57.44%,57.67%,37.78%
75.89%,78.56%,78.89%,69.11%,55.22%,34.00%
76.67%,78.56%,78.67%,66.78%,57.67%,47.78%
75.67%,78.56%,78.78%,71.00%,55.56%,44.33%
76.44%,77.89%,78.44%,73.56%,58.22%,38.33%
