core-0-pkg core-0-ram core-6-pkg core-6-ram nvd-0 nvd-1
17.369819 1.107137 30.340268 1.101308 16.924000 16.443000
17.321407 1.099729 30.413910 1.107206 16.924000 16.634000
17.335764 1.098103 30.422853 1.108479 16.924000 16.539000
17.454599 1.104680 30.360381 1.093907 16.924000 16.443000
17.349600 1.104412 30.444152 1.103710 16.924000 16.443000
17.313507 1.104492 30.433929 1.107361 16.924000 16.443000
17.667047 1.106701 30.367705 1.098766 16.924000 16.539000
17.436031 1.102430 30.431856 1.107160 16.924000 16.634000
17.372763 1.106792 30.445037 1.093608 16.929000 16.539000
17.309084 1.109237 30.386568 1.098068 16.924000 16.539000
17.353699 1.100067 29.183075 1.102600 16.924000 16.538000
17.286249 1.102400 28.859416 1.099134 16.924000 16.443000
17.442391 1.099812 28.810320 1.103596 16.732000 16.443000
17.451965 1.106659 28.854889 1.097839 16.929000 16.538000
17.634536 1.108831 28.868783 1.089757 16.924000 16.539000
17.368105 1.102325 28.874619 1.097870 16.924000 16.634000
17.509836 1.099888 28.774773 1.099583 17.117000 16.538000
17.396454 1.097992 28.822906 1.099976 16.929000 16.634000
17.350303 1.104427 30.007052 1.101283 16.924000 16.539000
17.322937 1.102264 25.430573 1.100494 17.121000 16.443000
17.538710 1.102393 25.469025 1.105353 16.929000 16.443000
17.411586 1.099897 25.424560 1.103163 16.929000 16.538000
17.649795 1.106574 25.474884 1.106635 16.929000 16.443000
17.267833 1.097767 25.459920 1.103199 16.929000 16.538000
17.558453 1.102347 25.400035 1.103049 17.025000 16.443000
17.431152 1.102417 25.464539 1.107727 17.025000 16.443000
17.301270 1.102386 25.482300 1.104614 16.929000 16.443000
17.436920 1.102386 25.413269 1.098389 16.929000 16.443000
17.622505 1.113421 25.464549 1.107592 16.929000 16.539000
17.287136 1.100095 25.461100 1.107786 16.929000 16.443000
17.647734 1.102461 25.414429 1.100508 16.929000 16.539000
17.428358 1.106299 25.467366 1.107153 16.929000 16.443000
17.623977 1.106849 25.464112 1.106299 16.929000 16.539000
17.438960 1.106886 25.420898 1.100569 17.121000 16.443000
17.203277 1.097822 25.456044 1.104780 16.929000 16.539000
17.270536 1.102463 25.418325 1.102768 16.929000 16.443000
17.664493 1.106888 25.473593 1.104874 17.121000 16.634000
17.241159 1.100100 25.464914 1.100618 17.025000 16.443000
17.246411 1.100257 25.426727 1.103003 16.929000 16.443000
17.270164 1.100154 24.814049 1.106197 17.121000 16.539000
17.449136 1.104787 26.729943 1.106679 16.929000 16.539000
17.276268 1.106838 28.830298 1.094539 17.025000 16.539000
17.313316 1.109126 28.873969 1.095851 16.929000 16.538000
17.400940 1.106995 28.897858 1.092865 16.924000 16.539000
17.668362 1.113491 28.854483 1.095943 16.732000 16.443000
17.322370 1.104725 28.902680 1.094227 16.924000 16.634000
17.311212 1.097944 28.884075 1.105360 16.924000 16.539000
17.315564 1.106574 28.872671 1.091102 16.929000 16.443000
21.984262 1.067195 21.038591 1.094844 49.481000 16.437000
24.081540 1.037883 25.663434 1.104351 49.765000 16.433000
26.542269 1.030837 20.031937 1.103986 49.864000 16.433000
