core_0_pkg core_0_ram core_6_pkg core_6_ram nvd_0 nvd_1
23.536394 1.106966 19.076027 1.076296 136.551000 16.519000
27.628662 1.098480 18.789215 1.055725 124.023000 16.329000
25.479482 1.097859 19.007653 1.080220 134.933000 16.614000
27.410771 1.113629 18.836592 1.058634 121.950000 16.519000
26.004413 1.092152 19.016794 1.081471 132.172000 16.614000
23.778484 1.109195 18.803482 1.053498 125.836000 16.710000
23.413618 1.097926 19.043763 1.079952 135.313000 16.614000
27.037895 1.104665 18.806071 1.047747 129.430000 16.614000
26.582648 1.097747 19.014926 1.075471 140.455000 16.614000
23.673757 1.100209 18.851606 1.055896 130.029000 16.519000
22.995768 1.095736 19.025737 1.078708 143.657000 16.614000
23.524558 1.106632 18.792899 1.053803 129.647000 16.710000
23.276853 1.104472 19.086952 1.083202 142.550000 16.614000
23.515687 1.100462 18.812318 1.057462 130.375000 16.614000
23.324789 1.091062 18.955535 1.078795 141.978000 16.614000
23.230826 1.099771 18.983576 1.053626 131.172000 16.614000
27.831704 1.095790 18.852751 1.078915 141.379000 16.519000
23.457598 1.102389 18.968111 1.052368 132.446000 16.424000
23.796332 1.097712 18.840758 1.079250 140.262000 16.710000
23.008079 1.098182 19.040365 1.050328 132.281000 16.519000
23.950409 1.105210 18.756519 1.078415 144.682000 16.614000
26.596741 1.100189 19.133606 1.054993 132.992000 16.614000
27.858463 1.097759 18.750615 1.078227 145.444000 16.610000
27.763333 1.102650 19.103691 1.056325 134.231000 16.424000
27.637039 1.105395 18.776393 1.075975 144.198000 16.710000
23.196312 1.107273 19.092834 1.058660 139.949000 16.614000
24.174612 1.104662 18.734125 1.082567 144.044000 16.615000
22.793046 1.095688 19.094398 1.054581 135.975000 16.519000
23.948242 1.097855 18.756976 1.081863 142.587000 16.614000
22.843018 1.102164 19.055237 1.052512 136.330000 16.519000
24.227121 1.105306 18.746340 1.077320 141.186000 16.519000
25.217042 1.100610 19.069283 1.055414 135.212000 16.424000
28.480780 1.109297 18.750469 1.081403 140.044000 16.519000
23.275359 1.100276 19.090866 1.057613 136.451000 16.519000
23.962499 1.102696 19.011232 1.077306 138.615000 16.424000
23.779308 1.101789 19.339374 1.058729 136.737000 16.519000
23.933803 1.106975 18.905585 1.070903 135.591000 16.519000
22.565722 1.093896 19.109535 1.059625 137.759000 16.424000
23.898375 1.104599 18.747882 1.077896 136.900000 16.519000
25.102225 1.097927 19.037155 1.056575 136.139000 16.515000
28.002269 1.102517 18.741880 1.074227 134.614000 16.519000
25.108573 1.099330 19.103409 1.055965 138.618000 16.610000
27.785781 1.093818 18.757650 1.071997 134.899000 16.614000
25.418162 1.097264 19.237839 1.063817 138.521000 16.519000
27.564697 1.098236 18.744354 1.077637 131.495000 16.519000
25.207776 1.094992 19.078522 1.059043 140.425000 16.515000
27.757862 1.100560 18.776198 1.068364 130.733000 16.519000
25.217428 1.102840 19.020951 1.064662 140.903000 16.424000
27.702370 1.095712 18.756406 1.070107 128.757000 16.519000
25.225496 1.102716 19.017464 1.061822 143.856000 16.420000
26.638947 1.100220 18.771484 1.065460 126.409000 16.424000
22.504046 1.098199 19.068977 1.066980 140.901000 16.614000
23.866497 1.104750 18.748485 1.060193 123.930000 16.519000
25.148154 1.104671 19.057907 1.062343 142.902000 16.515000
27.743666 1.096747 18.821463 1.058203 120.117000 16.424000
25.224844 1.104518 19.073868 1.072444 142.714000 16.519000
28.017324 1.099461 18.810317 1.067418 116.613000 16.424000
